Rank,Release,Gross
374,DanTDM Presents The Contest,307484.00
375,K-12,303230.00
376,Aquarela,302864.00
377,Ask Dr. Ruth,297195.00
378,Line Walker 2: Invisible Spy,296751.00
379,Junglee,295784.00
380,The Giant Spider Invasion,293053.00
381,Stockholm,292590.00
382,The Godfather: Part II,291754.00
,45th Anniversary,
383,Killerman,291477.00
384,The Bravest,290217.00
385,Saga of Tanya the Evil - The Movie,288460.00
386,Khalid: Free Spirit,284229.00
387,Mike Wallace Is Here,281245.00
388,The Whistleblower,280851.00
389,Octaman,280710.00
390,The Nutcracker and the Four Realms,277082.00
391,I Want to Eat Your Pancreas,277019.00
392,Freaks,276591.00
393,True Grit,276418.00
,2019 Re-release,
394,The Tale of The Princess Kaguya,271681.00
,2019 Re-release,
395,Shakira in Concert: El Dorado World Tour,271586.00
396,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,271489.00
397,One Child Nation,270128.00
398,Just Mercy,267881.00
399,Slayer: The Repentless Killogy,266895.00
400,Luzia: Cirque du Soleil in Cinema,265673.00
401,Out of Liberty,265279.00
402,Modest Heroes,264579.00
403,Smallfoot,263482.00
404,Star Raiders: The Adventures of Saber Raine,260234.00
405,Mobile Suit Gundam Narrative,259224.00
406,Her Smell,255599.00
407,Lords of Chaos,253184.00
408,Bolshoi Ballet: The Nutcracker,252935.00
409,When Harry Met Sally...,252320.00
,30th Anniversary,
410,I Got the Hook Up 2,252293.00
411,Canal Street,251917.00
412,Meeting Gorbachev,251837.00
413,The Twilight Zone: A 60th Anniversary Celebration,248514.00
414,Doctor Who: The End of Time: Part One,247798.00
415,Friendsgiving Day #1,246168.00
416,63 Up,240715.00
417,311 Enlarged to Show Detail 3,238791.00
418,Give Me Liberty,238130.00
419,American Woman,236637.00
420,Romeo Akbar Walter,236299.00
421,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,232973.00
422,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,230703.00
423,Under the Sea 3D,229299.00
424,Mine 9,226421.00
425,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,223858.00
426,Never Surrender: A Galaxy Quest Documentary,222971.00
427,First Love,218329.00
428,"The Gangster, the Cop, the Devil",216494.00
429,The Karate Kid,215447.00
,2019 Re-release,
430,The Possession of Hannah Grace,215212.00
431,Hamlet,214578.00
,2019 Re-release,
432,"Faith, Hope & Love",210091.00
433,Master Z: The Ip Man Legacy,209454.00
434,Kathy Griffin: A Hell of a Story,208907.00
435,Play the Flute,207663.00
436,Bolshoi Ballet: Carmen Suite/Petrushka,207523.00
437,The Iron Orchard,204881.00
438,Hesburgh,204709.00
439,Venom,203111.00
440,Forrest Gump,203088.00
,2019 Re-release,
441,Dabangg 3,202000.00
442,Blink of an Eye,201874.00
443,Friendsgiving Day #2,198869.00
444,Chasing the Dragon II: Wild Wild Bunch,196634.00
445,Family,194601.00
446,A Beautiful Planet,190603.00
447,Heading Home: The Tale of Team Israel,190583.00
448,Bolshoi Ballet: Le Corsaire,190192.00
449,The Divine Plan,190031.00
450,Pagalpanti,189666.00
451,Mr. Klein,188287.00
,Re-release,
452,42nd Street - The Musical,187440.00
453,The River and the Wall,185504.00
454,To Dust,184495.00
455,Giant Little Ones,181507.00
456,Raymonda: Bolshoi Ballet,181361.00
457,Bolshoi Ballet: Raymonda,181361.00
,domestic,
458,Robin Hood,179615.00
459,The Warrior Queen of Jhansi,177289.00
460,India's Most Wanted,176858.00
461,"Iyengar: The Man, Yoga, and the Student's Journey",176387.00
462,Tigers Are Not Afraid,175559.00
,2019 Re-release,
463,Marjaavaan,174164.00
464,Ashfall,172987.00
465,Bolshoi Ballet: The Golden Age,171916.00
466,Nureyev: Lifting the Curtain,170038.00
467,Frankie,169866.00
468,Indian Horse,168876.00
469,Asbury Park: Riot Redemption Rock 'n Roll,167684.00
470,The Bad Guys: The Movie,166972.00
471,Bright Ones,165627.00
472,Sunset,164906.00
