Rank,Company Name,Employees,Revenues,Profits,Assets,MarketValue 
200,Aramark,233400.00,16227.30,448.50,13736.30,5037.80
201,Principal Financial,17601.00,16222.10,1394.20,276087.80,8608.70
202,Ross Stores,92500.00,16039.10,1660.90,9348.40,30952.30
203,Colgate-Palmolive,34300.00,15693.00,2367.00,15034.00,56900.20
204,American Electric Power,17408.00,15561.40,1921.10,75892.30,39576.70
205,Nordstrom,75000.00,15524.00,496.00,9737.00,2398.40
206,Jacobs Engineering Group,50000.00,15463.60,848.00,11462.70,10546.90
207,Waste Management,44900.00,15455.00,1670.00,27743.00,39210.90
208,C.H. Robinson Worldwide,15427.00,15309.50,577.00,4641.10,8694.70
209,PPG Industries,47600.00,15146.00,1243.00,17708.00,19722.10
210,Booking Holdings,26400.00,15066.00,4865.00,21402.00,55241.30
211,Omnicom Group,70000.00,14953.70,1339.10,26783.40,11906.00
212,Loews,18605.00,14931.00,932.00,82243.00,10023.00
213,Ecolab,50200.00,14906.30,1558.90,20869.10,45060.80
214,Stryker,40000.00,14884.00,2083.00,30167.00,62405.10
215,Estee Lauder,48000.00,14863.00,1785.00,13156.00,57289.10
216,Goodyear Tire & Rubber,63000.00,14745.00,-311.00,17185.00,1354.20
217,Truist Financial,59000.00,14664.00,3224.00,473078.00,41479.80
218,Applied Materials,22000.00,14608.00,2706.00,19024.00,42076.70
219,BlackRock,16200.00,14539.00,4476.00,168622.00,68119.50
220,Stanley Black & Decker,59438.00,14442.20,955.80,20596.60,15402.50
221,Freeport-McMoRan,27500.00,14402.00,-239.00,40809.00,9794.10
222,Texas Instruments,29768.00,14383.00,5017.00,18018.00,93303.20
223,Biogen,7400.00,14377.90,5888.50,27234.30,55070.40
224,Parker-Hannifin,55610.00,14320.30,1512.40,17576.70,16652.50
225,Reinsurance Group of America,3188.00,14300.00,870.00,76731.00,5186.00
226,Howmet Aerospace,41700.00,14192.00,470.00,17578.00,7000.90
227,Automatic Data Processing,58000.00,14175.20,2292.80,41887.70,59012.20
228,Uber Technologies,26900.00,14147.00,-8506.00,31761.00,48226.10
229,Illinois Tool Works,45000.00,14109.00,2521.00,15068.00,45125.60
230,DaVita,65000.00,14101.50,811.00,17311.40,9553.10
231,Discover Financial Services,17200.00,13989.00,2957.00,113996.00,10923.50
232,Land O'Lakes,8000.00,13887.70,205.90,8899.30,-
233,VF,75000.00,13870.60,1259.80,10356.80,21346.50
234,Corteva,21000.00,13846.00,-959.00,42397.00,17608.20
235,Las Vegas Sands,50000.00,13739.00,2698.00,23199.00,32433.70
236,Textron,35000.00,13630.00,815.00,15018.00,6071.30
237,Kellogg,31000.00,13578.00,960.00,17564.00,20546.50
238,Guardian Life Ins. Co. of America,9032.00,13476.70,679.80,79387.70,-
239,Qurate Retail,25314.00,13458.00,-456.00,17305.00,2539.60
240,Core-Mark Holding,8555.00,13329.20,57.70,1898.40,1294.80
241,Community Health Systems,71500.00,13210.00,-675.00,15609.00,393.60
242,Kinder Morgan,11086.00,13209.00,2190.00,74157.00,31529.70
243,BJ's Wholesale Club,27231.00,13190.70,187.20,5269.80,3496.20
244,State Street,39103.00,13131.00,2242.00,245610.00,18875.80
245,Ameriprise Financial,12500.00,13103.00,1893.00,151828.00,12601.80
246,Global Partners,3860.00,13081.70,35.90,2808.40,299.80
247,United States Steel,27500.00,12937.00,-630.00,11608.00,1074.30
248,L Brands,59950.00,12914.20,-366.40,10125.00,3196.70
249,MGM Resorts International,72000.00,12899.70,2049.10,33876.40,5813.80
250,L3Harris Technologies,50000.00,12856.00,1333.00,38336.00,39067.30
251,DISH Network,16000.00,12807.70,1399.50,33230.90,10455.80
252,Lithia Motors,14320.00,12672.70,271.50,6083.90,1910.00
